
#U  J  Del_cdw
-10.0000  -10.1000  0.0000
-10.0000  -10.0392  0.0000
-10.0000  -9.9784  0.0000
-10.0000  -9.9176  0.0000
-10.0000  -9.8568  0.0000
-10.0000  -9.7960  0.0000
-10.0000  -9.7352  0.0000
-10.0000  -9.6744  0.0000
-10.0000  -9.6136  0.0000
-10.0000  -9.5528  0.0000
-10.0000  -9.4920  0.0000
-10.0000  -9.4312  0.0000
-10.0000  -9.3704  0.0000
-10.0000  -9.3095  0.0000
-10.0000  -9.2487  0.0000
-10.0000  -9.1879  0.0000
-10.0000  -9.1271  0.0000
-10.0000  -9.0663  0.0000
-10.0000  -9.0055  0.0000
-10.0000  -8.9447  0.0000
-10.0000  -8.8839  0.0000
-10.0000  -8.8231  0.0000
-10.0000  -8.7623  0.0000
-10.0000  -8.7015  0.0000
-10.0000  -8.6407  0.0000
-10.0000  -8.5799  0.0000
-10.0000  -8.5191  0.0000
-10.0000  -8.4583  0.0000
-10.0000  -8.3975  0.0000
-10.0000  -8.3367  0.0000
-10.0000  -8.2759  0.0000
-10.0000  -8.2151  0.0000
-10.0000  -8.1543  0.0000
-10.0000  -8.0935  0.0000
-10.0000  -8.0327  0.0000
-10.0000  -7.9719  0.0000
-10.0000  -7.9111  0.0000
-10.0000  -7.8503  0.0000
-10.0000  -7.7894  0.0000
-10.0000  -7.7286  0.0000
-10.0000  -7.6678  0.0000
-10.0000  -7.6070  0.0000
-10.0000  -7.5462  0.0000
-10.0000  -7.4854  0.0000
-10.0000  -7.4246  0.0000
-10.0000  -7.3638  0.0000
-10.0000  -7.3030  0.0000
-10.0000  -7.2422  0.0000
-10.0000  -7.1814  0.0000
-10.0000  -7.1206  0.0000
-10.0000  -7.0598  0.0000
-10.0000  -6.9990  0.0000
-10.0000  -6.9382  0.0000
-10.0000  -6.8774  0.0000
-10.0000  -6.8166  0.0000
-10.0000  -6.7558  0.0000
-10.0000  -6.6950  0.0000
-10.0000  -6.6342  0.0000
-10.0000  -6.5734  0.0000
-10.0000  -6.5126  0.0000
-10.0000  -6.4518  0.0000
-10.0000  -6.3910  0.0000
-10.0000  -6.3302  0.0000
-10.0000  -6.2693  0.0000
-10.0000  -6.2085  0.0000
-10.0000  -6.1477  0.0000
-10.0000  -6.0869  0.0000
-10.0000  -6.0261  0.0000
-10.0000  -5.9653  0.0000
-10.0000  -5.9045  0.0000
-10.0000  -5.8437  0.0008
-10.0000  -5.7829  0.0000
-10.0000  -5.7221  -0.0000
-10.0000  -5.6613  -0.0000
-10.0000  -5.6005  0.0000
-10.0000  -5.5397  0.0000
-10.0000  -5.4789  0.0000
-10.0000  -5.4181  0.0000
-10.0000  -5.3573  1.1949
-10.0000  -5.2965  0.0000
-10.0000  -5.2357  1.3442
-10.0000  -5.1749  0.0000
-10.0000  -5.1141  1.4594
-10.0000  -5.0533  -0.0000
-10.0000  -4.9925  0.0000
-10.0000  -4.9317  0.0000
-10.0000  -4.8709  0.0000
-10.0000  -4.8101  0.0002
-10.0000  -4.7492  0.0000
-10.0000  -4.6884  0.0000
-10.0000  -4.6276  0.0000
-10.0000  -4.5668  0.0000
-10.0000  -4.5060  0.0002
-10.0000  -4.4452  0.0000
-10.0000  -4.3844  0.0005
-10.0000  -4.3236  0.0002
-10.0000  -4.2628  0.0000
-10.0000  -4.2020  -0.0000
-10.0000  -4.1412  0.0002
-10.0000  -4.0804  0.0028
-10.0000  -4.0196  0.0005
-10.0000  -3.9588  1.8608
-10.0000  -3.8980  1.8675
-10.0000  -3.8372  1.8747
-10.0000  -3.7764  1.8809
-10.0000  -3.7156  1.8867
-10.0000  -3.6548  1.8921
-10.0000  -3.5940  1.8971
-10.0000  -3.5332  1.9018
-10.0000  -3.4724  1.9062
-10.0000  -3.4116  1.9103
-10.0000  -3.3508  1.9140
-10.0000  -3.2899  1.9181
-10.0000  -3.2291  1.9212
-10.0000  -3.1683  1.9243
-10.0000  -3.1075  1.9273
-10.0000  -3.0467  1.9301
-10.0000  -2.9859  1.9328
-10.0000  -2.9251  1.9353
-10.0000  -2.8643  1.9377
-10.0000  -2.8035  1.9400
-10.0000  -2.7427  1.9421
-10.0000  -2.6819  1.9438
-10.0000  -2.6211  1.9460
-10.0000  -2.5603  1.9478
-10.0000  -2.4995  1.9492
-10.0000  -2.4387  1.9512
-10.0000  -2.3779  1.9528
-10.0000  -2.3171  1.9543
-10.0000  -2.2563  1.9561
-10.0000  -2.1955  1.9571
-10.0000  -2.1347  1.9583
-10.0000  -2.0739  1.9595
-10.0000  -2.0131  1.9608
-10.0000  -1.9523  1.9620
-10.0000  -1.8915  1.9631
-10.0000  -1.8307  1.9641
-10.0000  -1.7698  1.9649
-10.0000  -1.7090  1.9659
-10.0000  -1.6482  1.9672
-10.0000  -1.5874  1.9679
-10.0000  -1.5266  1.9687
-10.0000  -1.4658  1.9696
-10.0000  -1.4050  1.9704
-10.0000  -1.3442  1.9711
-10.0000  -1.2834  1.9716
-10.0000  -1.2226  1.9721
-10.0000  -1.1618  1.9731
-10.0000  -1.1010  1.9738
-10.0000  -1.0402  1.9744
-10.0000  -0.9794  1.9750
-10.0000  -0.9186  1.9756
-10.0000  -0.8578  1.9760
-10.0000  -0.7970  1.9767
-10.0000  -0.7362  1.9773
-10.0000  -0.6754  1.9778
-10.0000  -0.6146  1.9783
-10.0000  -0.5538  1.9788
-10.0000  -0.4930  1.9792
-10.0000  -0.4322  1.9796
-10.0000  -0.3714  1.9797
-10.0000  -0.3106  1.9805
-10.0000  -0.2497  1.9809
-10.0000  -0.1889  1.9813
-10.0000  -0.1281  1.9816
-10.0000  -0.0673  1.9820
-10.0000  -0.0065  1.9824
-10.0000  0.0543  1.9828
-10.0000  0.1151  1.9830
-10.0000  0.1759  1.9832
-10.0000  0.2367  1.9836
-10.0000  0.2975  1.9840
-10.0000  0.3583  1.9842
-10.0000  0.4191  1.9846
-10.0000  0.4799  1.9848
-10.0000  0.5407  1.9852
-10.0000  0.6015  1.9854
-10.0000  0.6623  1.9857
-10.0000  0.7231  1.9860
-10.0000  0.7839  1.9862
-10.0000  0.8447  1.9865
-10.0000  0.9055  1.9866
-10.0000  0.9663  1.9869
-10.0000  1.0271  1.9873
-10.0000  1.0879  1.9872
-10.0000  1.1487  1.9876
-10.0000  1.2095  1.9878
-10.0000  1.2704  1.9880
-10.0000  1.3312  1.9882
-10.0000  1.3920  1.9884
-10.0000  1.4528  1.9886
-10.0000  1.5136  1.9886
-10.0000  1.5744  1.9887
-10.0000  1.6352  1.9891
-10.0000  1.6960  1.9892
-10.0000  1.7568  1.9894
-10.0000  1.8176  1.9896
-10.0000  1.8784  1.9898
-10.0000  1.9392  1.9899
-10.0000  2.0000  1.9901
-9.8990  -10.1000  0.0000
-9.8990  -10.0392  0.0000
-9.8990  -9.9784  0.0000
-9.8990  -9.9176  0.0000
-9.8990  -9.8568  0.0000
-9.8990  -9.7960  0.0000
-9.8990  -9.7352  0.0000
-9.8990  -9.6744  0.0000
-9.8990  -9.6136  0.0000
-9.8990  -9.5528  0.0000
-9.8990  -9.4920  0.0000
-9.8990  -9.4312  0.0000
-9.8990  -9.3704  0.0000
-9.8990  -9.3095  0.0000
-9.8990  -9.2487  0.0000
-9.8990  -9.1879  0.0000
-9.8990  -9.1271  0.0000
-9.8990  -9.0663  0.0000
-9.8990  -9.0055  0.0000
-9.8990  -8.9447  0.0000
