
#U  J  Del_inter
-10.0000  -10.1000  0.0000
-10.0000  -10.0392  0.0000
-10.0000  -9.9784  0.0000
-10.0000  -9.9176  0.0000
-10.0000  -9.8568  0.0000
-10.0000  -9.7960  0.0000
-10.0000  -9.7352  0.0000
-10.0000  -9.6744  0.0000
-10.0000  -9.6136  0.0000
-10.0000  -9.5528  0.0000
-10.0000  -9.4920  0.0000
-10.0000  -9.4312  0.0000
-10.0000  -9.3704  0.0000
-10.0000  -9.3095  0.0000
-10.0000  -9.2487  0.0000
-10.0000  -9.1879  0.0000
-10.0000  -9.1271  0.0000
-10.0000  -9.0663  0.0000
-10.0000  -9.0055  0.0000
-10.0000  -8.9447  0.0000
-10.0000  -8.8839  0.0000
-10.0000  -8.8231  0.0000
-10.0000  -8.7623  0.0000
-10.0000  -8.7015  0.0000
-10.0000  -8.6407  0.0000
-10.0000  -8.5799  0.0000
-10.0000  -8.5191  0.0000
-10.0000  -8.4583  0.0000
-10.0000  -8.3975  0.0000
-10.0000  -8.3367  0.0000
-10.0000  -8.2759  0.0000
-10.0000  -8.2151  0.0000
-10.0000  -8.1543  0.0000
-10.0000  -8.0935  0.0000
-10.0000  -8.0327  0.0000
-10.0000  -7.9719  0.0000
-10.0000  -7.9111  0.0000
-10.0000  -7.8503  0.0000
-10.0000  -7.7894  0.0000
-10.0000  -7.7286  0.0000
-10.0000  -7.6678  0.0000
-10.0000  -7.6070  0.0000
-10.0000  -7.5462  0.0000
-10.0000  -7.4854  0.0000
-10.0000  -7.4246  0.0000
-10.0000  -7.3638  0.0000
-10.0000  -7.3030  0.0000
-10.0000  -7.2422  0.0000
-10.0000  -7.1814  0.0000
-10.0000  -7.1206  0.0000
-10.0000  -7.0598  0.0000
-10.0000  -6.9990  0.0000
-10.0000  -6.9382  0.0000
-10.0000  -6.8774  0.0000
-10.0000  -6.8166  0.0000
-10.0000  -6.7558  0.0000
-10.0000  -6.6950  0.0000
-10.0000  -6.6342  0.0000
-10.0000  -6.5734  0.0000
-10.0000  -6.5126  0.0000
-10.0000  -6.4518  0.0000
-10.0000  -6.3910  0.0000
-10.0000  -6.3302  0.0000
-10.0000  -6.2693  0.0000
-10.0000  -6.2085  0.0000
-10.0000  -6.1477  0.0000
-10.0000  -6.0869  0.0000
-10.0000  -6.0261  0.0000
-10.0000  -5.9653  0.0000
-10.0000  -5.9045  0.0000
-10.0000  -5.8437  0.0000
-10.0000  -5.7829  0.0000
-10.0000  -5.7221  0.0000
-10.0000  -5.6613  0.0000
-10.0000  -5.6005  0.0000
-10.0000  -5.5397  0.0000
-10.0000  -5.4789  0.0000
-10.0000  -5.4181  0.0000
-10.0000  -5.3573  0.0000
-10.0000  -5.2965  0.0000
-10.0000  -5.2357  0.0000
-10.0000  -5.1749  0.0000
-10.0000  -5.1141  0.0000
-10.0000  -5.0533  0.0000
-10.0000  -4.9925  0.0000
-10.0000  -4.9317  0.0000
-10.0000  -4.8709  0.0000
-10.0000  -4.8101  0.0000
-10.0000  -4.7492  0.0000
-10.0000  -4.6884  0.0000
-10.0000  -4.6276  -0.0000
-10.0000  -4.5668  0.0000
-10.0000  -4.5060  0.0000
-10.0000  -4.4452  -0.0000
-10.0000  -4.3844  0.0000
-10.0000  -4.3236  0.0000
-10.0000  -4.2628  -0.0000
-10.0000  -4.2020  -0.0000
-10.0000  -4.1412  0.0000
-10.0000  -4.0804  0.0000
-10.0000  -4.0196  -0.0000
-10.0000  -3.9588  0.0000
-10.0000  -3.8980  -0.0000
-10.0000  -3.8372  0.0000
-10.0000  -3.7764  -0.0000
-10.0000  -3.7156  0.0000
-10.0000  -3.6548  0.0000
-10.0000  -3.5940  -0.0000
-10.0000  -3.5332  -0.0000
-10.0000  -3.4724  0.0000
-10.0000  -3.4116  -0.0000
-10.0000  -3.3508  0.0000
-10.0000  -3.2899  0.0000
-10.0000  -3.2291  0.0000
-10.0000  -3.1683  -0.0000
-10.0000  -3.1075  0.0000
-10.0000  -3.0467  -0.0000
-10.0000  -2.9859  0.0000
-10.0000  -2.9251  -0.0000
-10.0000  -2.8643  0.0000
-10.0000  -2.8035  0.0003
-10.0000  -2.7427  0.0000
-10.0000  -2.6819  -0.0000
-10.0000  -2.6211  -0.0000
-10.0000  -2.5603  0.0000
-10.0000  -2.4995  -0.0000
-10.0000  -2.4387  0.0000
-10.0000  -2.3779  0.0000
-10.0000  -2.3171  0.0000
-10.0000  -2.2563  0.0001
-10.0000  -2.1955  0.0000
-10.0000  -2.1347  0.0000
-10.0000  -2.0739  0.0000
-10.0000  -2.0131  0.0000
-10.0000  -1.9523  0.0000
-10.0000  -1.8915  0.0000
-10.0000  -1.8307  0.0000
-10.0000  -1.7698  0.0000
-10.0000  -1.7090  0.0000
-10.0000  -1.6482  0.0000
-10.0000  -1.5874  -0.0000
-10.0000  -1.5266  0.0000
-10.0000  -1.4658  0.0000
-10.0000  -1.4050  0.0000
-10.0000  -1.3442  0.0000
-10.0000  -1.2834  0.0000
-10.0000  -1.2226  -0.0000
-10.0000  -1.1618  0.0000
-10.0000  -1.1010  0.0000
-10.0000  -1.0402  0.0000
-10.0000  -0.9794  0.0000
-10.0000  -0.9186  0.0000
-10.0000  -0.8578  -0.0000
-10.0000  -0.7970  0.0000
-10.0000  -0.7362  0.0000
-10.0000  -0.6754  -0.0000
-10.0000  -0.6146  0.0000
-10.0000  -0.5538  -0.0000
-10.0000  -0.4930  0.0000
-10.0000  -0.4322  0.0000
-10.0000  -0.3714  0.0000
-10.0000  -0.3106  0.0000
-10.0000  -0.2497  0.0000
-10.0000  -0.1889  -0.0000
-10.0000  -0.1281  0.0000
-10.0000  -0.0673  0.0000
-10.0000  -0.0065  0.0000
-10.0000  0.0543  0.0000
-10.0000  0.1151  -0.0000
-10.0000  0.1759  0.0000
-10.0000  0.2367  -0.0000
-10.0000  0.2975  0.0000
-10.0000  0.3583  -0.0000
-10.0000  0.4191  0.0000
-10.0000  0.4799  -0.0000
-10.0000  0.5407  0.0000
-10.0000  0.6015  0.0000
-10.0000  0.6623  -0.0000
-10.0000  0.7231  0.0000
-10.0000  0.7839  0.0000
-10.0000  0.8447  0.0000
-10.0000  0.9055  -0.0000
-10.0000  0.9663  0.0001
-10.0000  1.0271  -0.0000
-10.0000  1.0879  -0.0000
-10.0000  1.1487  0.0000
-10.0000  1.2095  0.0000
-10.0000  1.2704  -0.0000
-10.0000  1.3312  -0.0000
-10.0000  1.3920  -0.0000
-10.0000  1.4528  0.0000
-10.0000  1.5136  0.0000
-10.0000  1.5744  0.0000
-10.0000  1.6352  -0.0000
-10.0000  1.6960  -0.0000
-10.0000  1.7568  -0.0000
-10.0000  1.8176  0.0000
-10.0000  1.8784  0.0000
-10.0000  1.9392  0.0000
-10.0000  2.0000  0.0000
-9.8990  -10.1000  0.0000
-9.8990  -10.0392  0.0000
-9.8990  -9.9784  0.0000
-9.8990  -9.9176  0.0000
-9.8990  -9.8568  0.0000
-9.8990  -9.7960  0.0000
-9.8990  -9.7352  0.0000
-9.8990  -9.6744  0.0000
-9.8990  -9.6136  0.0000
-9.8990  -9.5528  0.0000
-9.8990  -9.4920  0.0000
-9.8990  -9.4312  0.0000
-9.8990  -9.3704  0.0000
-9.8990  -9.3095  0.0000
-9.8990  -9.2487  0.0000
-9.8990  -9.1879  0.0000
-9.8990  -9.1271  0.0000
-9.8990  -9.0663  0.0000
