#U = -0.5*J - 2.0#J  Del
-1.5000  0.0000
-1.4417  0.0000
-1.3834  0.0000
-1.3251  0.0000
-1.2668  0.0000
-1.2085  0.0000
-1.1503  0.0000
-1.0920  0.0000
-1.0337  0.0000
-0.9754  0.0000
-0.9171  0.0000
-0.8588  0.0000
-0.8005  0.0000
-0.7422  0.0119
-0.6839  0.0146
-0.6256  0.0186
-0.5673  0.0246
-0.5090  0.0336
-0.4508  0.0463
-0.3925  0.0627
-0.3342  0.0813
-0.2759  0.1007
-0.2176  0.1202
-0.1593  0.1393
-0.1010  0.1577
-0.0427  0.1755
0.0156  0.1924
0.0739  0.2084
0.1322  0.2236
0.1905  0.2380
0.2487  0.2515
0.3070  0.2642
0.3653  0.2762
0.4236  0.2874
0.4819  0.2980
0.5402  0.3079
0.5985  0.3172
0.6568  0.3260
0.7151  0.3342
0.7734  0.3419
0.8317  0.3492
0.8899  0.3560
0.9482  0.3624
1.0065  0.3685
1.0648  0.3742
1.1231  0.3795
1.1814  0.3846
1.2397  0.3894
1.2980  0.3939
1.3563  0.3982
1.4146  0.4022
1.4729  0.4060
1.5312  0.4097
1.5894  0.4131
1.6477  0.4163
1.7060  0.4194
1.7643  0.4223
1.8226  0.4251
1.8809  0.4277
1.9392  0.4303
1.9975  0.4326
2.0558  0.4349
2.1141  0.4371
2.1724  0.4392
2.2307  0.4411
2.2889  0.4430
2.3472  0.4448
2.4055  0.4465
2.4638  0.4482
2.5221  0.4497
2.5804  0.4512
2.6387  0.4527
2.6970  0.4541
2.7553  0.4554
2.8136  0.4566
2.8719  0.4579
2.9302  0.4590
2.9884  0.4601
3.0467  0.4612
3.1050  0.4623
3.1633  0.4633
3.2216  0.4642
3.2799  0.4651
3.3382  0.4660
3.3965  0.4669
3.4548  0.4677
3.5131  0.4685
3.5714  0.4693
3.6296  0.4700
3.6879  0.4707
3.7462  0.4714
3.8045  0.4721
3.8628  0.4727
3.9211  0.4733
3.9794  0.4739
4.0377  0.4745
4.0960  0.4751
4.1543  0.4756
4.2126  0.4762
4.2709  0.4767
4.3291  0.4772
4.3874  0.4776
4.4457  0.4781
4.5040  0.4786
4.5623  0.4790
4.6206  0.4794
4.6789  0.4798
4.7372  0.4802
4.7955  0.4806
4.8538  0.4810
4.9121  0.4814
4.9704  0.4817
5.0286  0.4821
5.0869  0.4824
5.1452  0.4827
5.2035  0.4831
5.2618  0.4834
5.3201  0.4837
5.3784  0.4840
5.4367  0.4842
5.4950  0.4845
5.5533  0.4848
5.6116  0.4851
5.6698  0.4853
5.7281  0.4856
5.7864  0.4858
5.8447  0.4861
5.9030  0.4863
5.9613  0.4865
6.0196  0.4867
6.0779  0.4869
6.1362  0.4872
6.1945  0.4874
6.2528  0.4876
6.3111  0.4878
6.3693  0.4880
6.4276  0.4881
6.4859  0.4883
6.5442  0.4885
6.6025  0.4887
6.6608  0.4888
6.7191  0.4890
6.7774  0.4892
6.8357  0.4893
6.8940  0.4895
6.9523  0.4896
7.0106  0.4898
7.0688  0.4899
7.1271  0.4901
7.1854  0.4902
7.2437  0.4904
7.3020  0.4905
7.3603  0.4906
7.4186  0.4908
7.4769  0.4909
7.5352  0.4910
7.5935  0.4911
7.6518  0.4913
7.7101  0.4914
7.7683  0.4915
7.8266  0.4916
7.8849  0.4917
7.9432  0.4918
8.0015  0.4919
8.0598  0.4920
8.1181  0.4921
8.1764  0.4922
8.2347  0.4923
8.2930  0.4924
8.3513  0.4925
8.4095  0.4926
8.4678  0.4927
8.5261  0.4928
8.5844  0.4929
8.6427  0.4930
8.7010  0.4930
8.7593  0.4931
8.8176  0.4932
8.8759  0.4933
8.9342  0.4934
8.9925  0.4934
9.0508  0.4935
9.1090  0.4936
9.1673  0.4937
9.2256  0.4937
9.2839  0.4938
9.3422  0.4939
9.4005  0.4939
9.4588  0.4940
9.5171  0.4941
9.5754  0.4941
9.6337  0.4942
9.6920  0.4943
9.7503  0.4943
9.8085  0.4944
9.8668  0.4945
9.9251  0.4945
9.9834  0.4946
10.0417  0.4946
10.1000  0.4947
