# U  Del  E
-30.0000  0.4956  -15.2652
-29.9680  0.4956  -15.2495
-29.9359  0.4956  -15.2337
-29.9039  0.4956  -15.2180
-29.8719  0.4956  -15.2023
-29.8398  0.4956  -15.1865
-29.8078  0.4956  -15.1708
-29.7758  0.4955  -15.1551
-29.7437  0.4955  -15.1393
-29.7117  0.4955  -15.1236
-29.6797  0.4955  -15.1079
-29.6476  0.4955  -15.0921
-29.6156  0.4955  -15.0764
-29.5836  0.4955  -15.0607
-29.5516  0.4955  -15.0450
-29.5195  0.4955  -15.0292
-29.4875  0.4955  -15.0135
-29.4555  0.4954  -14.9978
-29.4234  0.4954  -14.9821
-29.3914  0.4954  -14.9663
-29.3594  0.4954  -14.9506
-29.3273  0.4954  -14.9349
-29.2953  0.4954  -14.9192
-29.2633  0.4954  -14.9034
-29.2312  0.4954  -14.8877
-29.1992  0.4954  -14.8720
-29.1672  0.4954  -14.8563
-29.1351  0.4953  -14.8406
-29.1031  0.4953  -14.8248
-29.0711  0.4953  -14.8091
-29.0390  0.4953  -14.7934
-29.0070  0.4953  -14.7777
-28.9750  0.4953  -14.7620
-28.9429  0.4953  -14.7462
-28.9109  0.4953  -14.7305
-28.8789  0.4953  -14.7148
-28.8468  0.4953  -14.6991
-28.8148  0.4952  -14.6834
-28.7828  0.4952  -14.6677
-28.7508  0.4952  -14.6520
-28.7187  0.4952  -14.6363
-28.6867  0.4952  -14.6205
-28.6547  0.4952  -14.6048
-28.6226  0.4952  -14.5891
-28.5906  0.4952  -14.5734
-28.5586  0.4952  -14.5577
-28.5265  0.4952  -14.5420
-28.4945  0.4951  -14.5263
-28.4625  0.4951  -14.5106
-28.4304  0.4951  -14.4949
-28.3984  0.4951  -14.4792
-28.3664  0.4951  -14.4635
-28.3343  0.4951  -14.4478
-28.3023  0.4951  -14.4321
-28.2703  0.4951  -14.4164
-28.2382  0.4951  -14.4007
-28.2062  0.4950  -14.3850
-28.1742  0.4950  -14.3693
-28.1421  0.4950  -14.3536
-28.1101  0.4950  -14.3379
-28.0781  0.4950  -14.3222
-28.0460  0.4950  -14.3065
-28.0140  0.4950  -14.2908
-27.9820  0.4950  -14.2751
-27.9499  0.4950  -14.2594
-27.9179  0.4949  -14.2437
-27.8859  0.4949  -14.2280
-27.8539  0.4949  -14.2123
-27.8218  0.4949  -14.1966
-27.7898  0.4949  -14.1809
-27.7578  0.4949  -14.1652
-27.7257  0.4949  -14.1495
-27.6937  0.4949  -14.1339
-27.6617  0.4948  -14.1182
-27.6296  0.4948  -14.1025
-27.5976  0.4948  -14.0868
-27.5656  0.4948  -14.0711
-27.5335  0.4948  -14.0554
-27.5015  0.4948  -14.0397
-27.4695  0.4948  -14.0241
-27.4374  0.4948  -14.0084
-27.4054  0.4948  -13.9927
-27.3734  0.4947  -13.9770
-27.3413  0.4947  -13.9613
-27.3093  0.4947  -13.9457
-27.2773  0.4947  -13.9300
-27.2452  0.4947  -13.9143
-27.2132  0.4947  -13.8986
-27.1812  0.4947  -13.8829
-27.1491  0.4947  -13.8673
-27.1171  0.4946  -13.8516
-27.0851  0.4946  -13.8359
-27.0531  0.4946  -13.8202
-27.0210  0.4946  -13.8046
-26.9890  0.4946  -13.7889
-26.9570  0.4946  -13.7732
-26.9249  0.4946  -13.7576
-26.8929  0.4946  -13.7419
-26.8609  0.4945  -13.7262
-26.8288  0.4945  -13.7106
-26.7968  0.4945  -13.6949
-26.7648  0.4945  -13.6792
-26.7327  0.4945  -13.6636
-26.7007  0.4945  -13.6479
-26.6687  0.4945  -13.6322
-26.6366  0.4944  -13.6166
-26.6046  0.4944  -13.6009
-26.5726  0.4944  -13.5852
-26.5405  0.4944  -13.5696
-26.5085  0.4944  -13.5539
-26.4765  0.4944  -13.5383
-26.4444  0.4944  -13.5226
-26.4124  0.4944  -13.5070
-26.3804  0.4943  -13.4913
-26.3483  0.4943  -13.4756
-26.3163  0.4943  -13.4600
-26.2843  0.4943  -13.4443
-26.2523  0.4943  -13.4287
-26.2202  0.4943  -13.4130
-26.1882  0.4943  -13.3974
-26.1562  0.4942  -13.3817
-26.1241  0.4942  -13.3661
-26.0921  0.4942  -13.3504
-26.0601  0.4942  -13.3348
-26.0280  0.4942  -13.3191
-25.9960  0.4942  -13.3035
-25.9640  0.4942  -13.2878
-25.9319  0.4941  -13.2722
-25.8999  0.4941  -13.2566
-25.8679  0.4941  -13.2409
-25.8358  0.4941  -13.2253
-25.8038  0.4941  -13.2096
-25.7718  0.4941  -13.1940
-25.7397  0.4941  -13.1784
-25.7077  0.4940  -13.1627
-25.6757  0.4940  -13.1471
-25.6436  0.4940  -13.1315
-25.6116  0.4940  -13.1158
-25.5796  0.4940  -13.1002
-25.5475  0.4940  -13.0846
