#U  J  Del
-10.0000  -10.1000  0.0000
-10.0000  -9.0368  0.0000
-10.0000  -7.9737  0.0000
-10.0000  -6.9105  0.0000
-10.0000  -5.8474  0.0000
-10.0000  -4.7842  0.0186
-10.0000  -3.7211  0.2457
-10.0000  -2.6579  0.3750
-10.0000  -1.5947  0.4296
-10.0000  -0.5316  0.4558
-10.0000  0.5316  0.4700
-10.0000  1.5947  0.4783
-10.0000  2.6579  0.4837
-10.0000  3.7211  0.4873
-10.0000  4.7842  0.4898
-10.0000  5.8474  0.4917
-10.0000  6.9105  0.4931
-10.0000  7.9737  0.4942
-10.0000  9.0368  0.4950
-10.0000  10.1000  0.4957
-9.4789  -10.1000  0.0000
-9.4789  -9.0368  0.0000
-9.4789  -7.9737  0.0000
-9.4789  -6.9105  0.0000
-9.4789  -5.8474  0.0000
-9.4789  -4.7842  0.0000
-9.4789  -3.7211  0.1921
-9.4789  -2.6579  0.3532
-9.4789  -1.5947  0.4199
-9.4789  -0.5316  0.4509
-9.4789  0.5316  0.4672
-9.4789  1.5947  0.4766
-9.4789  2.6579  0.4826
-9.4789  3.7211  0.4865
-9.4789  4.7842  0.4893
-9.4789  5.8474  0.4913
-9.4789  6.9105  0.4928
-9.4789  7.9737  0.4939
-9.4789  9.0368  0.4948
-9.4789  10.1000  0.4955
-8.9579  -10.1000  0.0000
-8.9579  -9.0368  0.0000
-8.9579  -7.9737  0.0000
-8.9579  -6.9105  0.0000
-8.9579  -5.8474  0.0000
-8.9579  -4.7842  0.0000
-8.9579  -3.7211  0.1281
-8.9579  -2.6579  0.3260
-8.9579  -1.5947  0.4082
-8.9579  -0.5316  0.4451
-8.9579  0.5316  0.4640
-8.9579  1.5947  0.4747
-8.9579  2.6579  0.4814
-8.9579  3.7211  0.4857
-8.9579  4.7842  0.4887
-8.9579  5.8474  0.4909
-8.9579  6.9105  0.4924
-8.9579  7.9737  0.4937
-8.9579  9.0368  0.4946
-8.9579  10.1000  0.4954
-8.4368  -10.1000  0.0000
-8.4368  -9.0368  0.0000
-8.4368  -7.9737  0.0000
-8.4368  -6.9105  0.0000
-8.4368  -5.8474  0.0000
-8.4368  -4.7842  0.0000
-8.4368  -3.7211  0.0602
-8.4368  -2.6579  0.2920
-8.4368  -1.5947  0.3940
