#U = -0.5*J - 5.0
#(U-J)  Del
-80.0000  0.4994
-78.9899  0.4994
-77.9798  0.4993
-76.9697  0.4993
-75.9596  0.4993
-74.9495  0.4993
-73.9394  0.4993
-72.9293  0.4992
-71.9192  0.4992
-70.9091  0.4992
-69.8990  0.4992
-68.8889  0.4992
-67.8788  0.4991
-66.8687  0.4991
-65.8586  0.4991
-64.8485  0.4991
-63.8384  0.4990
-62.8283  0.4990
-61.8182  0.4990
-60.8081  0.4989
-59.7980  0.4989
-58.7879  0.4988
-57.7778  0.4988
-56.7677  0.4988
-55.7576  0.4987
-54.7475  0.4987
-53.7374  0.4986
-52.7273  0.4986
-51.7172  0.4985
-50.7071  0.4985
-49.6970  0.4984
-48.6869  0.4983
-47.6768  0.4982
-46.6667  0.4982
-45.6566  0.4981
-44.6465  0.4980
-43.6364  0.4979
-42.6263  0.4978
-41.6162  0.4977
-40.6061  0.4976
-39.5960  0.4975
-38.5859  0.4973
-37.5758  0.4972
-36.5657  0.4970
-35.5556  0.4969
-34.5455  0.4967
-33.5354  0.4965
-32.5253  0.4963
-31.5152  0.4960
-30.5051  0.4958
-29.4950  0.4955
-28.4849  0.4951
-27.4748  0.4948
-26.4646  0.4944
-25.4545  0.4939
-24.4444  0.4934
-23.4343  0.4929
-22.4242  0.4922
-21.4141  0.4915
-20.4040  0.4906
-19.3939  0.4897
-18.3838  0.4885
-17.3737  0.4872
-16.3636  0.4856
-15.3535  0.4838
-14.3434  0.4815
-13.3333  0.4788
-12.3232  0.4754
-11.3131  0.4712
-10.3030  0.4658
-9.2929  0.4588
-8.2828  0.4495
-7.2727  0.4369
-6.2626  0.4194
-5.2525  0.3942
-4.2424  0.3569
-3.2323  0.3000
-2.2222  0.2126
-1.2121  0.0879
-0.2020  0.0033
0.8081  0.0000
1.8182  0.0000
2.8283  0.0000
3.8384  0.0000
4.8485  0.0000
5.8586  0.0000
6.8687  0.0000
7.8788  0.0000
8.8889  0.0000
9.8990  0.0000
10.9091  0.0000
11.9192  0.0000
12.9293  0.0000
13.9394  0.0000
14.9495  0.0000
15.9596  0.0000
16.9697  0.0000
17.9798  0.0000
18.9899  0.0000
20.0000  0.0000
