# U  Del
-10.0000  0.4639
-9.9900  0.4638
-9.9800  0.4638
-9.9700  0.4637
-9.9600  0.4636
-9.9499  0.4636
-9.9399  0.4635
-9.9299  0.4634
-9.9199  0.4634
-9.9099  0.4633
-9.8999  0.4632
-9.8899  0.4632
-9.8799  0.4631
-9.8699  0.4630
-9.8599  0.4630
-9.8498  0.4629
-9.8398  0.4628
-9.8298  0.4627
-9.8198  0.4627
-9.8098  0.4626
-9.7998  0.4625
-9.7898  0.4625
-9.7798  0.4624
-9.7698  0.4623
-9.7598  0.4623
-9.7497  0.4622
-9.7397  0.4621
-9.7297  0.4621
-9.7197  0.4620
-9.7097  0.4619
-9.6997  0.4618
-9.6897  0.4618
-9.6797  0.4617
-9.6697  0.4616
-9.6597  0.4616
-9.6496  0.4615
-9.6396  0.4614
-9.6296  0.4613
-9.6196  0.4613
-9.6096  0.4612
-9.5996  0.4611
-9.5896  0.4610
-9.5796  0.4610
-9.5696  0.4609
-9.5596  0.4608
-9.5495  0.4608
-9.5395  0.4607
-9.5295  0.4606
-9.5195  0.4605
-9.5095  0.4605
-9.4995  0.4604
-9.4895  0.4603
-9.4795  0.4602
-9.4695  0.4602
-9.4595  0.4601
-9.4494  0.4600
-9.4394  0.4599
-9.4294  0.4599
-9.4194  0.4598
-9.4094  0.4597
-9.3994  0.4596
-9.3894  0.4595
-9.3794  0.4595
-9.3694  0.4594
-9.3594  0.4593
-9.3493  0.4592
-9.3393  0.4592
-9.3293  0.4591
-9.3193  0.4590
-9.3093  0.4589
-9.2993  0.4588
-9.2893  0.4588
-9.2793  0.4587
-9.2693  0.4586
-9.2593  0.4585
-9.2492  0.4584
-9.2392  0.4584
-9.2292  0.4583
-9.2192  0.4582
-9.2092  0.4581
-9.1992  0.4580
-9.1892  0.4580
-9.1792  0.4579
-9.1692  0.4578
-9.1592  0.4577
-9.1491  0.4576
-9.1391  0.4576
-9.1291  0.4575
-9.1191  0.4574
-9.1091  0.4573
-9.0991  0.4572
-9.0891  0.4571
-9.0791  0.4571
-9.0691  0.4570
-9.0591  0.4569
-9.0490  0.4568
-9.0390  0.4567
-9.0290  0.4566
-9.0190  0.4565
-9.0090  0.4565
-8.9990  0.4564
-8.9890  0.4563
-8.9790  0.4562
-8.9690  0.4561
-8.9590  0.4560
-8.9489  0.4559
-8.9389  0.4559
-8.9289  0.4558
-8.9189  0.4557
-8.9089  0.4556
-8.8989  0.4555
-8.8889  0.4554
-8.8789  0.4553
-8.8689  0.4552
-8.8589  0.4551
-8.8488  0.4551
-8.8388  0.4550
-8.8288  0.4549
-8.8188  0.4548
-8.8088  0.4547
-8.7988  0.4546
-8.7888  0.4545
-8.7788  0.4544
-8.7688  0.4543
-8.7588  0.4542
-8.7487  0.4541
-8.7387  0.4540
-8.7287  0.4539
-8.7187  0.4539
-8.7087  0.4538
-8.6987  0.4537
-8.6887  0.4536
-8.6787  0.4535
-8.6687  0.4534
-8.6587  0.4533
-8.6486  0.4532
-8.6386  0.4531
-8.6286  0.4530
-8.6186  0.4529
-8.6086  0.4528
-8.5986  0.4527
-8.5886  0.4526
-8.5786  0.4525
-8.5686  0.4524
-8.5586  0.4523
-8.5485  0.4522
-8.5385  0.4521
-8.5285  0.4520
-8.5185  0.4519
-8.5085  0.4518
-8.4985  0.4517
-8.4885  0.4516
-8.4785  0.4515
-8.4685  0.4514
-8.4585  0.4513
